N,Dtheta,regime,r,C_r
256,2.0,arrested_low_noise,0.5,0.7931280167241943
256,2.0,arrested_low_noise,0.896551724137931,0.7904752208695416
256,2.0,arrested_low_noise,1.293103448275862,0.7879515329363931
256,2.0,arrested_low_noise,1.6896551724137931,0.7857346698246529
256,2.0,arrested_low_noise,2.086206896551724,0.7797324623169752
256,2.0,arrested_low_noise,2.4827586206896552,0.7768819113589063
256,2.0,arrested_low_noise,2.8793103448275863,0.7746877231230622
256,2.0,arrested_low_noise,3.2758620689655173,0.7722510662168558
256,2.0,arrested_low_noise,3.6724137931034484,0.7683483462266725
256,2.0,arrested_low_noise,4.068965517241379,0.7657456934663626
256,2.0,arrested_low_noise,4.4655172413793105,0.7641472327093062
256,2.0,arrested_low_noise,4.862068965517242,0.7611603749698341
256,2.0,arrested_low_noise,5.258620689655173,0.7597821173448988
256,2.0,arrested_low_noise,5.655172413793103,0.7589546867722077
256,2.0,arrested_low_noise,6.051724137931035,0.7556931080449362
256,2.0,arrested_low_noise,6.448275862068966,0.7510886043056251
256,2.0,arrested_low_noise,6.844827586206897,0.7484294821784181
256,2.0,arrested_low_noise,7.241379310344827,0.7463514994587636
256,2.0,arrested_low_noise,7.637931034482759,0.7435851985525097
256,2.0,arrested_low_noise,8.03448275862069,0.7404013526218288
256,2.0,arrested_low_noise,8.431034482758621,0.7392706392957801
256,2.0,arrested_low_noise,8.827586206896552,0.7365352387210168
256,2.0,arrested_low_noise,9.224137931034484,0.7340790530751162
256,2.0,arrested_low_noise,9.620689655172415,0.732295827061474
256,2.0,arrested_low_noise,10.017241379310345,0.7305954182350535
256,2.0,arrested_low_noise,10.413793103448276,0.7292094560574514
256,2.0,arrested_low_noise,10.810344827586206,0.7276421858513296
256,2.0,arrested_low_noise,11.206896551724139,0.724459264763462
256,2.0,arrested_low_noise,11.60344827586207,0.7195089377830055
256,2.0,arrested_low_noise,12.0,0.7185415100798458
256,5.0,annealed_moderate_noise,0.5,0.7879366523594884
256,5.0,annealed_moderate_noise,0.896551724137931,0.7872654144994115
256,5.0,annealed_moderate_noise,1.293103448275862,0.786462470008333
256,5.0,annealed_moderate_noise,1.6896551724137931,0.7847764741839625
256,5.0,annealed_moderate_noise,2.086206896551724,0.7831342639615883
256,5.0,annealed_moderate_noise,2.4827586206896552,0.7794730629880373
256,5.0,annealed_moderate_noise,2.8793103448275863,0.7780562976099025
256,5.0,annealed_moderate_noise,3.2758620689655173,0.7755343254993586
256,5.0,annealed_moderate_noise,3.6724137931034484,0.7742029670762803
256,5.0,annealed_moderate_noise,4.068965517241379,0.7731510588729515
256,5.0,annealed_moderate_noise,4.4655172413793105,0.7718496090356641
256,5.0,annealed_moderate_noise,4.862068965517242,0.7716724322197903
256,5.0,annealed_moderate_noise,5.258620689655173,0.7706834003453326
256,5.0,annealed_moderate_noise,5.655172413793103,0.770323544699431
256,5.0,annealed_moderate_noise,6.051724137931035,0.769288349121546
256,5.0,annealed_moderate_noise,6.448275862068966,0.7680776887563125
256,5.0,annealed_moderate_noise,6.844827586206897,0.7657623079985221
256,5.0,annealed_moderate_noise,7.241379310344827,0.7662944282944596
256,5.0,annealed_moderate_noise,7.637931034482759,0.7610192337363472
256,5.0,annealed_moderate_noise,8.03448275862069,0.761164945948542
256,5.0,annealed_moderate_noise,8.431034482758621,0.7593895828108581
256,5.0,annealed_moderate_noise,8.827586206896552,0.7578841549431414
256,5.0,annealed_moderate_noise,9.224137931034484,0.7565796241817889
256,5.0,annealed_moderate_noise,9.620689655172415,0.7564457859124207
256,5.0,annealed_moderate_noise,10.017241379310345,0.7557163228347109
256,5.0,annealed_moderate_noise,10.413793103448276,0.7548905312773304
256,5.0,annealed_moderate_noise,10.810344827586206,0.7528211121135581
256,5.0,annealed_moderate_noise,11.206896551724139,0.7528466351114637
256,5.0,annealed_moderate_noise,11.60344827586207,0.7510354724092354
256,5.0,annealed_moderate_noise,12.0,0.7491662206428642
